Meldedatum;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Gesamt
2020-01-02;;;;   3;;;;;;   3;;;;;;;    6
2020-01-03;;;;   1;;;;;;   5;;;;;;;    6
2020-01-04;;;;   0;;;;;;   3;;;;;;;    3
2020-01-05;;;;   0;;;;;;   1;;;;;;;    1
2020-01-06;;;;   1;;;;;;   1;;;;;;;    2
2020-01-07;   2;;;   1;;;;;;   0;;;;;;;    3
2020-01-08;   0;;;   0;;;;;;   3;;;;;;;    3
2020-01-09;   1;;;   0;;;;;;   1;;;;;;;    2
2020-01-10;   0;;;   0;;;;;;   1;;;;;;;    1
2020-01-11;   0;;;   1;;;;;;   3;;;;;;;    4
2020-01-12;   0;;;   0;;;;;;   3;;;;;;;    3
2020-01-13;   0;;;   0;;;;;;   1;;;;;;;    1
2020-01-14;   0;;;   0;;;;;;   2;;;;;;;    2
2020-01-15;   0;;;   0;;;;;;   8;;;;;;;    8
2020-01-16;   0;;;   0;;;;;;   0;;;;;;;    0
2020-01-17;   0;;;   0;;;;;;   2;;;;;;;    2
2020-01-18;   0;;;   1;;;;;;   0;;;;;;;    1
2020-01-19;   0;;;   0;;;;;;   1;;;;;;;    1
2020-01-20;   0;;;   0;;;;;;   5;;;;;;;    5
2020-01-21;   0;;;   0;;;;;;   1;;;;;;;    1
2020-01-22;   0;;;   1;;;;;;   3;;;;;;;    4
2020-01-23;   0;;;   0;;;;;;   0;;  1;;;;;    1
2020-01-24;   0;;;   0;;;;;;   6;;  0;;   1;;;    7
2020-01-25;   0;;;   1;;;;;;   4;;  0;;   0;;;    5
2020-01-26;   0;;;   0;;;;;;   0;;  0;   1;   0;;;    1
2020-01-27;   0;;;   0;;;;;;   0;;  0;   0;   0;;;    0
2020-01-28;   1;   2;;   0;;;;;;   3;;  0;   0;   0;;;    6
2020-01-29;   0;   2;;   0;;;;;;   0;;  0;   0;   0;;;    2
